ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
kara1499-1-100-1,,kara1499,1-100,dunia,dunia,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-1-210-1,,kara1499,1-210,kibis,kibis,,,visser2021,,false,,,Phonemic,
kara1499-1-212-1,,kara1499,1-212,naun,naun,,,visser2021,,false,,,Phonemic,
kara1499-1-214-1,,kara1499,1-214,paos,paos,,,visser2021,,false,,,Phonemic,
kara1499-1-215-1,,kara1499,1-215,os,os,,,visser2021,,false,,,Phonemic,
kara1499-1-220-1,,kara1499,1-220,turing,turing,,,visser2021,,false,,,Phonemic,
kara1499-1-220-2,,kara1499,1-220,kolak,kolak,,,visser2021,,false,,,Phonemic,
kara1499-1-222-1,,kara1499,1-222,karemun,karemun,,,visser2021,,false,,,Phonemic,
kara1499-1-250-1,,kara1499,1-250,lempuang,lempuang,,,visser2021,,false,,,Phonemic,
kara1499-1-260-1,,kara1499,1-260,kibis,kibis,,,visser2021,,false,,,Phonemic,
kara1499-1-260-2,,kara1499,1-260,kolak,kolak,,,visser2021,,false,,,Phonemic,
kara1499-1-270-1,,kara1499,1-270,pasierbol,pasierbol,,,visser2021,,false,,,Phonemic,
kara1499-1-270-2,,kara1499,1-270,kibis,kibis,,,visser2021,,false,,,Phonemic,
kara1499-1-280-1,,kara1499,1-280,iar,iar,,,visser2021,,false,,,Phonemic,
kara1499-1-310-1,,kara1499,1-310,per,per,,,visser2021,,false,,,Phonemic,
kara1499-1-320-1,,kara1499,1-320,pasier,pasier,,,visser2021,,false,,,Phonemic,
kara1499-1-320-2,,kara1499,1-320,wilak,wilak,,,visser2021,,false,,,Phonemic,
kara1499-1-322-1,,kara1499,1-322,up,up,,,visser2021,,false,,,Phonemic,
kara1499-1-323-1,,kara1499,1-323,ur temun,ur temun,,,visser2021,,false,,,Phonemic,
kara1499-1-324-1,,kara1499,1-324,pus,pus,,,visser2021,,false,,,Phonemic,
kara1499-1-329-1,,kara1499,1-329,pasier,pasier,,,visser2021,,false,,,Phonemic,
kara1499-1-329-2,,kara1499,1-329,wilak,wilak,,,visser2021,,false,,,Phonemic,
kara1499-1-330-1,,kara1499,1-330,kat,kat,,,visser2021,,false,,,Phonemic,
kara1499-1-340-1,,kara1499,1-340,arep,arep,,,visser2021,,false,,,Phonemic,
kara1499-1-341-1,,kara1499,1-341,arep,arep,,,visser2021,,false,,,Phonemic,
kara1499-1-342-1,,kara1499,1-342,tebol,tebol,,,visser2021,,false,,,Phonemic,
kara1499-1-342-2,,kara1499,1-342,ram,ram,,,visser2021,,false,,,Phonemic,
kara1499-1-342-3,,kara1499,1-342,lam,lam,,,visser2021,,false,,,Phonemic,
kara1499-1-350-1,,kara1499,1-350,uren,uren,,,visser2021,,false,,,Phonemic,
kara1499-1-352-1,,kara1499,1-352,warkin,warkin,,,visser2021,,false,,,Phonemic,
kara1499-1-353-1,,kara1499,1-353,warkin kararak,warkin kararak,,,visser2021,,false,,,Phonemic,
kara1499-1-353-2,,kara1499,1-353,terar kararak,terar kararak,,,visser2021,,false,,,Phonemic,
kara1499-1-353-3,,kara1499,1-353,warkin tararup,warkin tararup,,,visser2021,,false,,,Phonemic,
kara1499-1-353-4,,kara1499,1-353,warkin garos,warkin garos,,,visser2021,,false,,,Phonemic,
kara1499-1-354-1,,kara1499,1-354,warkin laur,warkin laur,,,visser2021,,false,,,Phonemic,
kara1499-1-354-2,,kara1499,1-354,warkin nasesak,warkin nasesak,,,visser2021,,false,,,Phonemic,
kara1499-1-360-1,,kara1499,1-360,kat,kat,,,visser2021,,false,,,Phonemic,
kara1499-1-390-1,,kara1499,1-390,perki,perki,,,visser2021,,false,,,Phonemic,
kara1499-1-410-1,,kara1499,1-410,kolak,kolak,,,visser2021,,false,,,Phonemic,
kara1499-1-420-1,,kara1499,1-420,ror,ror,,,visser2021,,false,,,Phonemic,
kara1499-1-430-1,,kara1499,1-430,ror,ror,,,visser2021,,false,,,Phonemic,
kara1499-1-440-1,,kara1499,1-440,yar,yar,,,visser2021,,false,,,Phonemic,
kara1499-1-450-1,,kara1499,1-450,leng dek,leng dek,,,visser2021,,false,,,Phonemic,
kara1499-1-510-1,,kara1499,1-510,kisileng,kisileng,,,visser2021,,false,,,Phonemic,
kara1499-1-520-1,,kara1499,1-520,yuon,yuon,,,visser2021,,false,,,Phonemic,
kara1499-1-530-1,,kara1499,1-530,pak,pak,,,visser2021,,false,,,Phonemic,
kara1499-1-540-1,,kara1499,1-540,maser,maser,,,visser2021,,false,,,Phonemic,
kara1499-1-550-1,,kara1499,1-550,godelep,godelep,,,visser2021,,false,,,Phonemic,
kara1499-1-560-1,,kara1499,1-560,godarung,godarung,,,visser2021,,false,,,Phonemic,
kara1499-1-580-1,,kara1499,1-580,ur temun,ur temun,,,visser2021,,false,,,Phonemic,
kara1499-1-590-1,,kara1499,1-590,kalis tanggir,kalis tanggir,,,visser2021,,false,,,Phonemic,
kara1499-1-610-1,,kara1499,1-610,yuol,yuol,,,visser2021,,false,,,Phonemic,
kara1499-1-620-1,,kara1499,1-620,sausaun,sausaun,,,visser2021,,false,,,Phonemic,
kara1499-1-630-1,,kara1499,1-630,kiek,kiek,,,visser2021,,false,,,Phonemic,
kara1499-1-630-2,,kara1499,1-630,kiekter,kiekter,,,visser2021,,false,,,Phonemic,
kara1499-1-640-1,,kara1499,1-640,masinul,masinul,,,visser2021,,false,,,Phonemic,
kara1499-1-720-1,,kara1499,1-720,ur,ur,,,visser2021,,false,,,Phonemic,
kara1499-1-730-1,,kara1499,1-730,ur kirun,ur kirun,,,visser2021,,false,,,Phonemic,
kara1499-1-740-1,,kara1499,1-740,teok,teok,,,visser2021,,false,,,Phonemic,
kara1499-1-750-1,,kara1499,1-750,kalis,kalis,,,visser2021,,false,,,Phonemic,
kara1499-1-760-1,,kara1499,1-760,teok,teok,,,visser2021,,false,,,Phonemic,
kara1499-1-770-1,,kara1499,1-770,es,es,,,visser2021,,false,,,Phonemic,
kara1499-1-780-1,,kara1499,1-780,go,go,,,visser2021,,false,,,Phonemic,
kara1499-1-810-1,,kara1499,1-810,din,din,,,visser2021,,false,,,Phonemic,
kara1499-1-820-1,,kara1499,1-820,din paras,din paras,,,visser2021,,false,,,Phonemic,
kara1499-1-830-1,,kara1499,1-830,diguar,diguar,,,visser2021,,false,,,Phonemic,
kara1499-1-840-1,,kara1499,1-840,koep,koep,,,visser2021,,false,,,Phonemic,
kara1499-1-841-1,,kara1499,1-841,din songsong,din songsong,,,visser2021,,false,,,Phonemic,
kara1499-1-841-2,,kara1499,1-841,paras,paras,,,visser2021,,false,,,Phonemic,
kara1499-1-851-1,,kara1499,1-851,komaruk,komaruk,,,visser2021,,false,,,Phonemic,
kara1499-1-852-1,,kara1499,1-852,dinan,dinan,,,visser2021,,false,,,Phonemic,
kara1499-1-860-1,,kara1499,1-860,up,up,,,visser2021,,false,,,Phonemic,
kara1499-1-861-1,,kara1499,1-861,rua,rua,,,visser2021,,false,,,Phonemic,
kara1499-1-880-1,,kara1499,1-880,kai,kai,,,visser2021,,false,,,Phonemic,
kara1499-1-890-1,,kara1499,1-890,kus,kus,,,visser2021,,false,,,Phonemic,
kara1499-2-100-1,,kara1499,2-100,sontum,sontum,,,visser2021,,false,,,Phonemic,
kara1499-2-100-2,,kara1499,2-100,som,som,,,visser2021,,false,,,Phonemic,
kara1499-2-210-1,,kara1499,2-210,teya,teya,,,visser2021,,false,,,Phonemic,
kara1499-2-210-2,,kara1499,2-210,canam,canam,,,visser2021,,false,,,Phonemic,
kara1499-2-220-1,,kara1499,2-220,pebis,pebis,,,visser2021,,false,,,Phonemic,
kara1499-2-220-2,,kara1499,2-220,pas,pas,,,visser2021,,false,,,Phonemic,
kara1499-2-230-1,,kara1499,2-230,teya,teya,,,visser2021,,false,,,Phonemic,
kara1499-2-230-2,,kara1499,2-230,canam,canam,,,visser2021,,false,,,Phonemic,
kara1499-2-240-1,,kara1499,2-240,pebis,pebis,,,visser2021,,false,,,Phonemic,
kara1499-2-240-2,,kara1499,2-240,pas,pas,,,visser2021,,false,,,Phonemic,
kara1499-2-250-1,,kara1499,2-250,tumun canam,tumun canam,,,visser2021,,false,,,Phonemic,
kara1499-2-251-1,,kara1499,2-251,teya towari,teya towari,,,visser2021,,false,,,Phonemic,
kara1499-2-260-1,,kara1499,2-260,tumun pas,tumun pas,,,visser2021,,false,,,Phonemic,
kara1499-2-261-1,,kara1499,2-261,pebis towari,pebis towari,,,visser2021,,false,,,Phonemic,
kara1499-2-270-1,,kara1499,2-270,tumun,tumun,,,visser2021,,false,,,Phonemic,
kara1499-2-280-1,,kara1499,2-280,au,au,,,visser2021,,false,,,Phonemic,
kara1499-2-310-1,,kara1499,2-310,nam,nam,,,visser2021,,false,,,Phonemic,
kara1499-2-320-1,,kara1499,2-320,kiar,kiar,,,visser2021,,false,,,Phonemic,
kara1499-2-330-1,,kara1499,2-330,kion,kion,,,visser2021,,false,,,Phonemic,
kara1499-2-330-2,,kara1499,2-330,namgon,namgon,,,visser2021,,false,,,Phonemic,
kara1499-2-340-1,,kara1499,2-340,halar,halar,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-2-340-2,,kara1499,2-340,nika,nika,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-2-350-1,,kara1499,2-350,esa,esa,,,visser2021,,false,,,Phonemic,
kara1499-2-360-1,,kara1499,2-360,ema,ema,,,visser2021,,false,,,Phonemic,
kara1499-2-410-1,,kara1499,2-410,tumun canam,tumun canam,,,visser2021,,false,,,Phonemic,
kara1499-2-420-1,,kara1499,2-420,tumun pas,tumun pas,,,visser2021,,false,,,Phonemic,
kara1499-2-440-1,,kara1499,2-440,dun-,dun-,,opposite sex,visser2021,,false,,,Phonemic,
kara1499-2-440-2,,kara1499,2-440,kia-,kia-,,same sex,visser2021,,false,,,Phonemic,
kara1499-2-444-1,,kara1499,2-444,dun- temun,dun- temun,,opposite sex,visser2021,,false,,,Phonemic,
kara1499-2-444-2,,kara1499,2-444,kia- temun,kia- temun,,same sex,visser2021,,false,,,Phonemic,
kara1499-2-445-1,,kara1499,2-445,dun- cicaun,dun- cicaun,,opposite sex,visser2021,,false,,,Phonemic,
kara1499-2-445-2,,kara1499,2-445,kia- cicaun,kia- cicaun,,same sex,visser2021,,false,,,Phonemic,
kara1499-2-450-1,,kara1499,2-450,dun-,dun-,,opposite sex,visser2021,,false,,,Phonemic,
kara1499-2-450-2,,kara1499,2-450,kia-,kia-,,same sex,visser2021,,false,,,Phonemic,
kara1499-2-454-1,,kara1499,2-454,dun- temun,dun- temun,,opposite sex,visser2021,,false,,,Phonemic,
kara1499-2-454-2,,kara1499,2-454,kia- temun,kia- temun,,same sex,visser2021,,false,,,Phonemic,
kara1499-2-455-1,,kara1499,2-455,dun- cicaun,dun- cicaun,,opposite sex,visser2021,,false,,,Phonemic,
kara1499-2-455-2,,kara1499,2-455,kia- cicaun,kia- cicaun,,same sex,visser2021,,false,,,Phonemic,
kara1499-2-456-1,,kara1499,2-456,dun-,dun-,,opposite sex,visser2021,,false,,,Phonemic,
kara1499-2-456-2,,kara1499,2-456,kia-,kia-,,same sex,visser2021,,false,,,Phonemic,
kara1499-2-460-1,,kara1499,2-460,tara esnem,tara esnem,,,visser2021,,false,,,Phonemic,
kara1499-2-460-2,,kara1499,2-460,tata,tata,,,visser2021,,false,,,Phonemic,
kara1499-2-461-1,,kara1499,2-461,esnem,esnem,,,visser2021,,false,,,Phonemic,
kara1499-2-470-1,,kara1499,2-470,tara emnem,tara emnem,,,visser2021,,false,,,Phonemic,
kara1499-2-470-2,,kara1499,2-470,nina,nina,,,visser2021,,false,,,Phonemic,
kara1499-2-471-1,,kara1499,2-471,emnem,emnem,,,visser2021,,false,,,Phonemic,
kara1499-2-480-1,,kara1499,2-480,tara canam,tara canam,,,visser2021,,false,,,Phonemic,
kara1499-2-490-1,,kara1499,2-490,tara pas,tara pas,,,visser2021,,false,,,Phonemic,
kara1499-2-510-1,,kara1499,2-510,esa,esa,,FB,visser2021,,false,,,Phonemic,
kara1499-2-510-2,,kara1499,2-510,mama,mama,,MB,visser2021,,false,,,Phonemic,
kara1499-2-510-3,,kara1499,2-510,om,om,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-2-511-1,,kara1499,2-511,mama,mama,,,visser2021,,false,,,Phonemic,
kara1499-2-512-1,,kara1499,2-512,esa,esa,,,visser2021,,false,,,Phonemic,
kara1499-2-520-1,,kara1499,2-520,ema,ema,,MZ,visser2021,,false,,,Phonemic,
kara1499-2-520-2,,kara1499,2-520,u,u,,FZ,visser2021,,false,,,Phonemic,
kara1499-2-520-3,,kara1499,2-520,ulan,ulan,,FZ,visser2021,,false,,,Phonemic,
kara1499-2-521-1,,kara1499,2-521,ema,ema,,,visser2021,,false,,,Phonemic,
kara1499-2-522-1,,kara1499,2-522,u,u,,,visser2021,,false,,,Phonemic,
kara1499-2-522-2,,kara1499,2-522,ulan,ulan,,,visser2021,,false,,,Phonemic,
kara1499-2-530-1,,kara1499,2-530,dudan,dudan,,,visser2021,,false,,,Phonemic,
kara1499-2-530-2,,kara1499,2-530,korap,korap,,,visser2021,,false,,,Phonemic,
kara1499-2-540-1,,kara1499,2-540,dudan,dudan,,,visser2021,,false,,,Phonemic,
kara1499-2-540-2,,kara1499,2-540,korap,korap,,,visser2021,,false,,,Phonemic,
kara1499-2-550-1,,kara1499,2-550,dudan,dudan,,,visser2021,,false,,,Phonemic,
kara1499-2-550-2,,kara1499,2-550,korap,korap,,,visser2021,,false,,,Phonemic,
kara1499-2-560-1,,kara1499,2-560,moyang,moyang,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-2-610-1,,kara1499,2-610,ketan,ketan,,,visser2021,,false,,,Phonemic,
kara1499-2-611-1,,kara1499,2-611,ketan,ketan,,,visser2021,,false,,,Phonemic,
kara1499-2-620-1,,kara1499,2-620,ketan,ketan,,,visser2021,,false,,,Phonemic,
kara1499-2-621-1,,kara1499,2-621,ketan,ketan,,,visser2021,,false,,,Phonemic,
kara1499-2-630-1,,kara1499,2-630,ketan,ketan,,,visser2021,,false,,,Phonemic,
kara1499-2-631-1,,kara1499,2-631,ketan,ketan,,,visser2021,,false,,,Phonemic,
kara1499-2-640-1,,kara1499,2-640,ketan,ketan,,,visser2021,,false,,,Phonemic,
