chapter,entry,english_meaning,Kalamang,data_2,data_3,data_4,data_5,data_6,comment,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
1,100,world,dunia,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
1,210,"earth, land",kibis,,,,,,,,,,,,,,,,,,
1,212,"earth=ground, soil",naun,,,,,,,,,,,,,,,,,,
1,213,dust,,,,,,,,,,,,,,,,,,,
1,214,mud,paos,,,,,,,,,,,,,,,,,,
1,215,sand,os,,,,,,,,,,,,,,,,,,
1,220,"mountain, hill",turing,,,,,,,,,,,,,,,,,,
1,220,"mountain, hill",kolak,,,,,,,,,,,,,,,,,,
1,222,"cliff, precipice",karemun,,,,,,,,,,,,,,,,,,
1,230,"plain, field",,,,,,,,,,,,,,,,,,,
1,240,valley,,,,,,,,,,,,,,,,,,,
1,250,island,lempuang,,,,,,,,,,,,,,,,,,
1,260,mainland,kibis,,,,,,,,,,,,,,,,,,
1,260,mainland,kolak,,,,,,,,,,,,,,,,,,
1,270,shore,pasierbol,,,,,,,,,,,,,,,,,,
1,270,shore,kibis,,,,,,,,,,,,,,,,,,
1,280,cave,iar,,,,,,,,,,,,,,,,,,
1,310,water,per,,,,,,,,,,,,,,,,,,
1,320,sea,pasier,,,,,,,,,,,,,,,,,,
1,320,sea,wilak,,,,,,,,,,,,,,,,,,
1,322,calm (of sea),up,,,,,,,,,,,,,,,,,,
1,323,rough (of sea),ur temun,,,,,,,,,,,,,,,,,,
1,324,foam,pus,,,,,,,,,,,,,,,,,,
1,329,ocean,pasier,,,,,,,,,,,,,,,,,,
1,329,ocean,wilak,,,,,,,,,,,,,,,,,,
1,330,lake,kat,,,,,,,,,,,,,,,,,,
1,340,"gulf, bay",arep,,,,,,,,,,,,,,,,,,
1,341,lagoon,arep,,,,,,,,,,,,,,,,,,
1,342,reef,tebol,,,,,,,,,,,,,,,,,,
1,342,reef,ram,,,,,,,,,,,,,,,,,,
1,342,reef,lam,,,,,,,,,,,,,,,,,,
1,343,"headland, point",,,,,,,,,,,,,,,,,,,
1,350,wave,uren,,,,,,,,,,,,,,,,,,
1,352,tide,warkin,,,,,,,,,,,,,,,,,,
1,353,lowtide,warkin kararak,,,,,,,,,,,,,,,,,,
1,353,lowtide,terar kararak,,,,,,,,,,,,,,,,,,
1,353,lowtide,warkin tararup,,,,,,,,,,,,,,,,,,
1,353,lowtide,warkin garos,,,,,,,,,,,,,,,,,,
1,354,hightide,warkin laur,,,,,,,,,,,,,,,,,,
1,354,hightide,warkin nasesak,,,,,,,,,,,,,,,,,,
1,360,"river, stream, brook",kat,,,,,,,,,,,,,,,,,,
1,362,whirlpool,,,,,,,,,,,,,,,,,,,
1,370,"spring, well",,,,,,,,,,,,,,,,,,,
1,380,swamp,,,,,,,,,,,,,,,,,,,
1,390,waterfall,perki,,,,,,,,,,,,,,,,,,
1,410,"woods, forest",kolak,,,,,,,,,,,,,,,,,,
1,420,tree (cf 08.600),ror,,,,,,,,,,,,,,,,,,
